name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York City,USA",2024-04-20,20.6,9.4,13,20.6,7.8,12.7,5.8,67.1,0.089,100,8.33,rain,0,0,46.4,18.4,250.7,1014.2,62,15,216.8,18.6,10,10,2024-04-20T06:08:59,2024-04-20T19:41:24,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-21,11.7,6.6,9.2,11.7,4.2,8.4,-3,42.7,0,0,0,,0,0,69.7,17.9,282.9,1016.4,6.8,16,145.8,12.6,5,10,2024-04-21T06:07:32,2024-04-21T19:42:27,0.42,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-22,17.2,6.7,11,17.2,4.2,10.3,-2.3,41.8,0,0,0,,0,0,60.8,18,243.9,1018.1,0.4,16,305.8,26.4,9,10,2024-04-22T06:06:06,2024-04-22T19:43:30,0.46,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-23,15.7,7.8,11.2,15.7,6.7,10.8,0.5,48.3,0,0,0,,0,0,59,27.5,193.2,1020.1,4.3,15.8,294.7,25.4,9,10,2024-04-23T06:04:41,2024-04-23T19:44:33,0.5,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-24,20.7,10,14.4,20.7,10,14.4,4.1,51.4,0,0,0,,0,0,73.8,16.3,249.6,1012.8,49.6,15.6,229.2,19.8,10,10,2024-04-24T06:03:17,2024-04-24T19:45:36,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-25,13.4,7.1,9.9,13.4,3.6,8.3,-1,47.9,0,0,0,,0,0,77.8,23.8,75,1026,39.6,16,319.7,27.6,10,10,2024-04-25T06:01:54,2024-04-25T19:46:38,0.56,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-26,14.4,6.7,10.3,14.4,4.9,9.4,1.5,56.3,0,0,0,,0,0,90.7,18.2,204.8,1031.6,0.6,16,304.5,26.4,9,10,2024-04-26T06:00:32,2024-04-26T19:47:41,0.59,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-27,15,7.9,10.8,15,6.5,10.5,1.8,56.2,0.005,100,4.17,rain,0,0,65.6,25.4,192.9,1032.4,45.3,15.8,232.8,20.1,9,10,2024-04-27T05:59:11,2024-04-27T19:48:44,0.63,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-28,23.9,10.1,15.6,23.9,10.1,15.6,9.8,69.6,0,0,0,,0,0,24.5,9.5,215.9,1021.6,66.5,15.9,255.5,22,9,10,2024-04-28T05:57:51,2024-04-28T19:49:46,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-29,28,14.7,19.2,28.2,14.7,19.2,14.8,77.5,0.037,100,8.33,rain,0,0,64.8,21.6,130.4,1015.6,38.1,13.5,257.8,22.2,9,10,2024-04-29T05:56:33,2024-04-29T19:50:49,0.7,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-30,17.8,11.1,14.2,17.8,11.1,14.2,10.9,80.6,0.046,100,4.17,rain,0,0,50,30.3,47.3,1013.6,74.6,13.5,191.5,16.6,8,10,2024-04-30T05:55:15,2024-04-30T19:51:51,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-05-01,23.1,11.2,15.2,23.1,11.2,15.2,11,77.3,0.07,100,12.5,rain,0,0,38.9,18.2,145.3,1013.6,64.3,14.5,255.6,22,10,10,2024-05-01T05:53:59,2024-05-01T19:52:54,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-05-02,23.9,11.2,16.7,23.9,11.2,16.7,11.8,75.2,0,0,0,,0,0,70.2,14.6,102.3,1014.7,50.2,13.1,256,22.1,9,10,2024-05-02T05:52:43,2024-05-02T19:53:56,0.81,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
